seed,baseline_dice,variant_dice,delta_dice,baseline_hd95,variant_hd95,delta_hd95,baseline_ece,variant_ece,delta_ece
42,0.0333142913877964,0.035709451884031296,0.002395160496234894,117.30414581298828,109.212158203125,-8.091987609863281,0.49894721528336966,0.5117585225394163,0.012811307256046678
43,0.015716159716248512,0.013287204317748547,-0.0024289553984999657,137.56886291503906,141.42372131347656,3.8548583984375,0.23473996199193223,0.20021501203188216,-0.034524949960050066
44,0.04207758232951164,0.046879395842552185,0.004801813513040543,120.57794189453125,119.03357696533203,-1.5443649291992188,0.3915019731283062,0.4141596238001733,0.02265765067186709
mean,0.030369344477852184,0.03195868401477734,0.0015893395369251568,125.1503168741862,123.22315216064453,-1.9271647135416667,0.375063050134536,0.37537771945715726,0.0003146693226212342
