seed,baseline_dice,synth_dice,delta_dice,baseline_hd95,synth_hd95,delta_hd95,baseline_ece,synth_ece,delta_ece
42,0.008523172698915005,0.008345977403223515,-0.00017719529569149017,142.10569763183594,142.0656280517578,-0.040069580078125,0.06202515512098099,0.07383930653925837,0.01181415141827738
43,0.0077830031514167786,0.007444877177476883,-0.00033812597393989563,145.49305725097656,146.5214080810547,1.028350830078125,0.04809059660198121,0.04137320176249853,-0.006717394839482679
44,0.018448231741786003,0.018617765977978706,0.00016953423619270325,139.19528198242188,137.1226348876953,-2.0726470947265625,0.21219627059425655,0.21283794653309754,0.0006416759388409854
mean,0.011584802530705929,0.011469540186226368,-0.00011526234447956085,142.26467895507812,141.9032236735026,-0.3614552815755208,0.10743734077240624,0.10935015161161815,0.0019128108392118953
