dose,baseline_dice,dose_dice,delta_dice,baseline_hd95,dose_hd95,delta_hd95,baseline_ece,dose_ece,delta_ece,tradeoff_score,rank
8,0.030369344477852184,0.03195868401477734,0.0015893395369251568,125.1503168741862,123.22315216064453,-1.9271647135416667,0.375063050134536,0.37537771945715726,0.0003146693226212342,0.0024742545630406817,1
16,0.030369344477852184,0.030674785065154236,0.000305440587302049,125.1503168741862,124.29376729329427,-0.8565495808919271,0.375063050134536,0.3777125655767804,0.002649515442244399,7.133651718691284e-05,2
24,0.030369344477852184,0.029555498001476128,-0.0008138464763760567,125.1503168741862,125.11073303222656,-0.039583841959635414,0.375063050134536,0.37771528717143715,0.002652237036901132,-0.001457113814621522,3
32,0.030369344477852184,0.023757307479778927,-0.00661203699807326,125.1503168741862,130.20651499430338,5.0561981201171875,0.375063050134536,0.3580919424856088,-0.016971107648927213,-0.00489735914590005,4
