variant,mean_dice,delta_dice,mean_hd95,delta_hd95,mean_ece,delta_ece,tradeoff_score,rank
baseline_medium,0.030369344477852184,0.0,125.1503168741862,0.0,0.375063050134536,0.0,0.0,2
untuned_synth_16,0.02900240073601405,-0.0013669437418381374,127.90079752604167,2.7504806518554688,0.36925445455280526,-0.005808595581730774,-0.0012900351723331782,3
tuned_synth_16,0.030252208312352497,-0.0001171361654996872,122.7079340616862,-2.4423828125,0.3746300422160873,-0.0004330079184487005,0.001212307220362488,1
tuned_synth_64,0.02858781473090251,-0.0017815297469496727,131.2322235107422,6.081906636555989,0.3612909246151586,-0.013772125519377435,-0.001379451685383309,4
