seed,baseline_dice,variant_dice,delta_dice,baseline_hd95,variant_hd95,delta_hd95,baseline_ece,variant_ece,delta_ece
42,0.0333142913877964,0.03680109605193138,0.0034868046641349792,117.30414581298828,109.81136322021484,-7.4927825927734375,0.49894721528336966,0.5134334781987524,0.014486262915382742
43,0.015716159716248512,0.012266102246940136,-0.0034500574693083763,137.56886291503906,146.4300537109375,8.861190795898438,0.23473996199193223,0.19436676748353973,-0.040373194508392496
44,0.04207758232951164,0.03959929570555687,-0.002478286623954773,120.57794189453125,119.09078216552734,-1.4871597290039062,0.3915019731283062,0.42534561583201935,0.03384364270371315
mean,0.030369344477852184,0.029555498001476128,-0.0008138464763760567,125.1503168741862,125.11073303222656,-0.039583841959635414,0.375063050134536,0.37771528717143715,0.002652237036901132
