seed,baseline_dice,variant_dice,delta_dice,baseline_hd95,variant_hd95,delta_hd95,baseline_ece,variant_ece,delta_ece
42,0.0333142913877964,0.03167639300227165,-0.0016378983855247498,117.30414581298828,129.8958740234375,12.591728210449219,0.49894721528336966,0.47275120741962984,-0.026196007863739823
43,0.015716159716248512,0.01116174180060625,-0.0045544179156422615,137.56886291503906,148.0449981689453,10.47613525390625,0.23473996199193223,0.18002216175997246,-0.05471780023195977
44,0.04207758232951164,0.042925309389829636,0.0008477270603179932,120.57794189453125,115.75579833984375,-4.8221435546875,0.3915019731283062,0.4310994046658735,0.039597431537567285
mean,0.030369344477852184,0.02858781473090251,-0.0017815297469496727,125.1503168741862,131.2322235107422,6.081906636555989,0.375063050134536,0.3612909246151586,-0.013772125519377435
