seed,baseline_dice,untuned_synth_dice,tuned_synth_dice,delta_untuned,delta_tuned,baseline_hd95,untuned_synth_hd95,tuned_synth_hd95,delta_hd95_untuned,delta_hd95_tuned,baseline_ece,untuned_synth_ece,tuned_synth_ece,delta_ece_untuned,delta_ece_tuned
42,0.0333142913877964,0.03346867114305496,0.03580206260085106,0.00015437975525856018,0.002487771213054657,117.30414581298828,121.3414535522461,109.724609375,4.0373077392578125,-7.579536437988281,0.49894721528336966,0.49410163090666737,0.5060463441085585,-0.004845584376702294,0.007099128825188872
43,0.015716159716248512,0.014057431370019913,0.014441564679145813,-0.0016587283462285995,-0.0012745950371026993,137.56886291503906,143.13868713378906,139.1956024169922,5.56982421875,1.626739501953125,0.23473996199193223,0.21155116778237992,0.21803988993414447,-0.023188794209552305,-0.016700072057787757
44,0.04207758232951164,0.03948109969496727,0.04051299765706062,-0.0025964826345443726,-0.0015645846724510193,120.57794189453125,119.22225189208984,119.2035903930664,-1.3556900024414062,-1.3743515014648438,0.3915019731283062,0.4021105649693685,0.399803892605559,0.010608591841062276,0.008301919477252784
mean,0.030369344477852184,0.02900240073601405,0.030252208312352497,-0.0013669437418381374,-0.0001171361654996872,125.1503168741862,127.90079752604167,122.7079340616862,2.7504806518554688,-2.4423828125,0.375063050134536,0.36925445455280526,0.3746300422160873,-0.005808595581730774,-0.0004330079184487005
