seed,baseline_dice,variant_dice,delta_dice,baseline_hd95,variant_hd95,delta_hd95,baseline_ece,variant_ece,delta_ece
42,0.0333142913877964,0.03703772649168968,0.00372343510389328,117.30414581298828,111.52864837646484,-5.7754974365234375,0.49894721528336966,0.5117321395405664,0.01278492425719674
43,0.015716159716248512,0.014447066001594067,-0.0012690937146544456,137.56886291503906,140.25071716308594,2.681854248046875,0.23473996199193223,0.22238267073945642,-0.01235729125247581
44,0.04207758232951164,0.040539562702178955,-0.0015380196273326874,120.57794189453125,121.10193634033203,0.5239944458007812,0.3915019731283062,0.39902288645031847,0.007520913322012268
mean,0.030369344477852184,0.030674785065154236,0.000305440587302049,125.1503168741862,124.29376729329427,-0.8565495808919271,0.375063050134536,0.3777125655767804,0.002649515442244399
