seed,baseline_dice,variant_dice,delta_dice,baseline_hd95,variant_hd95,delta_hd95,baseline_ece,variant_ece,delta_ece
42,0.18380805850028992,0.13708950579166412,-0.04671855270862579,84.33599090576172,86.96266174316406,2.6266708374023438,0.293102686966952,0.2827650486163541,-0.010337638350597922
43,0.24227456748485565,0.20792658627033234,-0.034347981214523315,83.78387451171875,84.85257720947266,1.0687026977539062,0.20688341799299018,0.22383068201983358,0.016947264026843406
44,0.29540443420410156,0.10883267223834991,-0.18657176196575165,78.70162200927734,94.96543884277344,16.263816833496094,0.22801134125962255,0.4054693763010291,0.17745803504140653
mean,0.24049568672974905,0.1512829214334488,-0.08921276529630025,82.27382914225261,88.92689259847005,6.653063456217448,0.24266581540652157,0.3040217023124056,0.061355886905884005
