seed,baseline_dice,variant_dice,delta_dice,baseline_hd95,variant_hd95,delta_hd95,baseline_ece,variant_ece,delta_ece
42,0.2061324566602707,0.15080085396766663,-0.055331602692604065,82.63140869140625,86.27730560302734,3.6458969116210938,0.29310248187204535,0.2827644528637473,-0.010338029008298055
43,0.33890441060066223,0.2662448585033417,-0.07265955209732056,82.4533920288086,84.33089447021484,1.87750244140625,0.2068824775536795,0.2238298802775211,0.016947402723841598
44,0.3680272698402405,0.3956716060638428,0.027644336223602295,80.38444519042969,80.23921966552734,-0.14522552490234375,0.2280105800224982,0.27023271077591593,0.04222213075341774
mean,0.3043547123670578,0.2709057728449504,-0.033448939522107445,81.82308197021484,83.61580657958984,1.792724609375,0.24266517981607436,0.25894234797239474,0.016277168156320427
